index,label,sentence,POS,FGPOS,w_index,split,label_bin,is_verb,target_idx,tokens,target_word,lemma,sent_len,lemma_freq_in_sample
acj-fragment01 109,0,"If one person chooses to cause serious injury to another , it should be presumed that he or she realizes that there is always a risk of death , and such cases show a sufficiently wanton disregard for life as to warrant the label ‘ murder ’ if death results .",VERB,VBN,14,train,0,True,14,"['If', 'one', 'person', 'chooses', 'to', 'cause', 'serious', 'injury', 'to', 'another', ',', 'it', 'should', 'be', 'presumed', 'that', 'he', 'or', 'she', 'realizes', 'that', 'there', 'is', 'always', 'a', 'risk', 'of', 'death', ',', 'and', 'such', 'cases', 'show', 'a', 'sufficiently', 'wanton', 'disregard', 'for', 'life', 'as', 'to', 'warrant', 'the', 'label', '‘', 'murder', '’', 'if', 'death', 'results', '.']",presumed,presume,51,6
faj-fragment17 1661,1,"It dips its wings in acknowledgement of the landing strip , and circles , preparing to land .",VERB,VBG,14,test,1,True,14,"['It', 'dips', 'its', 'wings', 'in', 'acknowledgement', 'of', 'the', 'landing', 'strip', ',', 'and', 'circles', ',', 'preparing', 'to', 'land', '.']",preparing,prepare,18,16
a1u-fragment04 81,0,"Rechem has responded with a rather desperate open-door policy aimed at soothing fears , and more recently by issuing about a dozen writs against the fiercest critics .",VERB,VBG,18,test,0,True,18,"['Rechem', 'has', 'responded', 'with', 'a', 'rather', 'desperate', 'open-door', 'policy', 'aimed', 'at', 'soothing', 'fears', ',', 'and', 'more', 'recently', 'by', 'issuing', 'about', 'a', 'dozen', 'writs', 'against', 'the', 'fiercest', 'critics', '.']",issuing,issue,28,9
a1g-fragment26 396,1,But I saw no other way out : I did n't know if I would ever have a chance again . ’,VERB,VBD,2,train,1,True,2,"['But', 'I', 'saw', 'no', 'other', 'way', 'out', ':', 'I', 'did', ""n't"", 'know', 'if', 'I', 'would', 'ever', 'have', 'a', 'chance', 'again', '.', '’']",saw,saw,22,16
as6-fragment02 355,1,"This was by no means an accident , since throughout the 1970s a powerful body of media , political , and academic opinion had been constructed around the theme of how Britain was drifting into a ‘ violent society ’ , and how the basis of consent was being shifted by the pressures of immigration and the growth of multi-racial inner city areas .",VERB,VBD,49,train,1,True,49,"['This', 'was', 'by', 'no', 'means', 'an', 'accident', ',', 'since', 'throughout', 'the', '1970s', 'a', 'powerful', 'body', 'of', 'media', ',', 'political', ',', 'and', 'academic', 'opinion', 'had', 'been', 'constructed', 'around', 'the', 'theme', 'of', 'how', 'Britain', 'was', 'drifting', 'into', 'a', '‘', 'violent', 'society', '’', ',', 'and', 'how', 'the', 'basis', 'of', 'consent', 'was', 'being', 'shifted', 'by', 'the', 'pressures', 'of', 'immigration', 'and', 'the', 'growth', 'of', 'multi-racial', 'inner', 'city', 'areas', '.']",shifted,shift,64,9
clp-fragment01 757,1,The standard method of producing task descriptions is to write all the separate sub-tasks at various levels on cards and then assemble the cards in a network .,VERB,VB,21,train,1,True,21,"['The', 'standard', 'method', 'of', 'producing', 'task', 'descriptions', 'is', 'to', 'write', 'all', 'the', 'separate', 'sub-tasks', 'at', 'various', 'levels', 'on', 'cards', 'and', 'then', 'assemble', 'the', 'cards', 'in', 'a', 'network', '.']",assemble,assemble,28,5
as6-fragment01 21,1,"In the early 1980s , at a time when manufacturing industry was collapsing and the outlook for the unskilled looked particularly bleak , frustration boiled over in a series of riots in London , Bristol , Birmingham , Liverpool , and elsewhere .",VERB,VBN,24,train,1,True,24,"['In', 'the', 'early', '1980s', ',', 'at', 'a', 'time', 'when', 'manufacturing', 'industry', 'was', 'collapsing', 'and', 'the', 'outlook', 'for', 'the', 'unskilled', 'looked', 'particularly', 'bleak', ',', 'frustration', 'boiled', 'over', 'in', 'a', 'series', 'of', 'riots', 'in', 'London', ',', 'Bristol', ',', 'Birmingham', ',', 'Liverpool', ',', 'and', 'elsewhere', '.']",boiled,boil,43,3
cty-fragment03 539,0,"Its totalization takes place through its incarnation , as part of the totality of boxing , in the overall framework within which each individual fight occurs .",VERB,VB,24,test,0,True,24,"['Its', 'totalization', 'takes', 'place', 'through', 'its', 'incarnation', ',', 'as', 'part', 'of', 'the', 'totality', 'of', 'boxing', ',', 'in', 'the', 'overall', 'framework', 'within', 'which', 'each', 'individual', 'fight', 'occurs', '.']",fight,fight,27,16
ahb-fragment51 738,1,"In case of a dispute you can complain to the professional body , and members are bonded , which means that deposits and rent are covered in case of fraud or dishonesty . ’",VERB,VBN,25,train,1,True,25,"['In', 'case', 'of', 'a', 'dispute', 'you', 'can', 'complain', 'to', 'the', 'professional', 'body', ',', 'and', 'members', 'are', 'bonded', ',', 'which', 'means', 'that', 'deposits', 'and', 'rent', 'are', 'covered', 'in', 'case', 'of', 'fraud', 'or', 'dishonesty', '.', '’']",covered,cover,34,16
ab9-fragment03 849,0,"The CID sergeant thanked her gravely and went to stand beside Jamie who was peering down the embankment , looking pinched .",VERB,VBN,20,train,0,True,20,"['The', 'CID', 'sergeant', 'thanked', 'her', 'gravely', 'and', 'went', 'to', 'stand', 'beside', 'Jamie', 'who', 'was', 'peering', 'down', 'the', 'embankment', ',', 'looking', 'pinched', '.']",pinched,pinch,22,4
a5e-fragment06 190,0,"All you can do with these songs is sing them , and Buddy fails even to manage that with any subtlety .",VERB,VB,8,test,0,True,8,"['All', 'you', 'can', 'do', 'with', 'these', 'songs', 'is', 'sing', 'them', ',', 'and', 'Buddy', 'fails', 'even', 'to', 'manage', 'that', 'with', 'any', 'subtlety', '.']",sing,sing,22,9
bmw-fragment09 2645,0,"She took her tray to the pay desk , opened her bag and felt for her purse .",VERB,VBD,13,test,0,True,13,"['She', 'took', 'her', 'tray', 'to', 'the', 'pay', 'desk', ',', 'opened', 'her', 'bag', 'and', 'felt', 'for', 'her', 'purse', '.']",felt,felt,18,16
amm-fragment02 1690,0,It has been slightly crushed .,VERB,VBN,4,train,0,True,4,"['It', 'has', 'been', 'slightly', 'crushed', '.']",crushed,crush,6,2
ab9-fragment03 834,0,"By the time his aunt arrived Jamie was so far recovered as to be able to refuse to go home and to point out , severely , that he would be needed , either to assist the police or to be lead rider in the eleven-thirty class , or possibly both .",VERB,VBD,5,train,0,True,5,"['By', 'the', 'time', 'his', 'aunt', 'arrived', 'Jamie', 'was', 'so', 'far', 'recovered', 'as', 'to', 'be', 'able', 'to', 'refuse', 'to', 'go', 'home', 'and', 'to', 'point', 'out', ',', 'severely', ',', 'that', 'he', 'would', 'be', 'needed', ',', 'either', 'to', 'assist', 'the', 'police', 'or', 'to', 'be', 'lead', 'rider', 'in', 'the', 'eleven-thirty', 'class', ',', 'or', 'possibly', 'both', '.']",arrived,arrive,52,13
ecv-fragment05 1171,1,"Now Holt and Harris both have many wise , enlightened and humane observations to make about some of the injustices which we inflict upon children , but as these remarks show , putting them right without inflicting equally grave injustice is no easy matter .",VERB,VBN,9,test,1,True,9,"['Now', 'Holt', 'and', 'Harris', 'both', 'have', 'many', 'wise', ',', 'enlightened', 'and', 'humane', 'observations', 'to', 'make', 'about', 'some', 'of', 'the', 'injustices', 'which', 'we', 'inflict', 'upon', 'children', ',', 'but', 'as', 'these', 'remarks', 'show', ',', 'putting', 'them', 'right', 'without', 'inflicting', 'equally', 'grave', 'injustice', 'is', 'no', 'easy', 'matter', '.']",enlightened,enlighten,45,2
kbw-fragment04 2628,1,It 's not got the aerial in .,VERB,VBD,3,train,1,True,3,"['It', ""'s"", 'not', 'got', 'the', 'aerial', 'in', '.']",got,get,8,16
clp-fragment01 869,1,"It is invariably better to provide material diagrammatically , systematically or at least in well-structured short paragraphs rather than in flowing prose .",VERB,VBG,20,train,1,True,20,"['It', 'is', 'invariably', 'better', 'to', 'provide', 'material', 'diagrammatically', ',', 'systematically', 'or', 'at', 'least', 'in', 'well-structured', 'short', 'paragraphs', 'rather', 'than', 'in', 'flowing', 'prose', '.']",flowing,flow,23,4
b1g-fragment02 1308,0,"It covers , for instance , the associations between water and air pollution and ill health , links between geological and pedological environments and ill health , as well as associations between specific technological hazards ( e.g. high-voltage power lines ) and possible health effects .",VERB,VBZ,1,train,0,True,1,"['It', 'covers', ',', 'for', 'instance', ',', 'the', 'associations', 'between', 'water', 'and', 'air', 'pollution', 'and', 'ill', 'health', ',', 'links', 'between', 'geological', 'and', 'pedological', 'environments', 'and', 'ill', 'health', ',', 'as', 'well', 'as', 'associations', 'between', 'specific', 'technological', 'hazards', '(', 'e.g.', 'high-voltage', 'power', 'lines', ')', 'and', 'possible', 'health', 'effects', '.']",covers,cover,46,16
a1p-fragment03 79,1,"David Blunkett , another member of the national executive , told a conference fringe rally organised by the soft-left Labour Coordinating Committee that Labour would have to find additional funds for its social programme by cutting £9.5bn from defence spending over five years , and raising the level of taxation on the rich .",VERB,VBG,35,train,1,True,35,"['David', 'Blunkett', ',', 'another', 'member', 'of', 'the', 'national', 'executive', ',', 'told', 'a', 'conference', 'fringe', 'rally', 'organised', 'by', 'the', 'soft-left', 'Labour', 'Coordinating', 'Committee', 'that', 'Labour', 'would', 'have', 'to', 'find', 'additional', 'funds', 'for', 'its', 'social', 'programme', 'by', 'cutting', '£9.5bn', 'from', 'defence', 'spending', 'over', 'five', 'years', ',', 'and', 'raising', 'the', 'level', 'of', 'taxation', 'on', 'the', 'rich', '.']",cutting,cut,54,16
acj-fragment01 99,1,"The House of Lords confirmed this rule in Cunningham ( 1981 ) : D struck his victim on the head a number of times with a chair , causing injuries from which the victim died a week later .",VERB,VBD,4,train,1,True,4,"['The', 'House', 'of', 'Lords', 'confirmed', 'this', 'rule', 'in', 'Cunningham', '(', '1981', ')', ':', 'D', 'struck', 'his', 'victim', 'on', 'the', 'head', 'a', 'number', 'of', 'times', 'with', 'a', 'chair', ',', 'causing', 'injuries', 'from', 'which', 'the', 'victim', 'died', 'a', 'week', 'later', '.']",confirmed,confirm,39,10
ac2-fragment06 1275,0,"‘ Ah , fill the cup , what boots it to repeat , how time is slipping underneath our feet , ’ he quoted with a sigh .",VERB,VB,3,train,0,True,3,"['‘', 'Ah', ',', 'fill', 'the', 'cup', ',', 'what', 'boots', 'it', 'to', 'repeat', ',', 'how', 'time', 'is', 'slipping', 'underneath', 'our', 'feet', ',', '’', 'he', 'quoted', 'with', 'a', 'sigh', '.']",fill,fill,28,16
a6u-fragment02 235,0,"This ‘ appropriateness ’ of Kahlo 's aesthetic to contemporary debate has tended to remove her work from its historical context , to stress the collective and the cross-cultural .",VERB,VBD,12,train,0,True,12,"['This', '‘', 'appropriateness', '’', 'of', 'Kahlo', ""'s"", 'aesthetic', 'to', 'contemporary', 'debate', 'has', 'tended', 'to', 'remove', 'her', 'work', 'from', 'its', 'historical', 'context', ',', 'to', 'stress', 'the', 'collective', 'and', 'the', 'cross-cultural', '.']",tended,tend,30,11
clp-fragment01 787,1,Indeed it will be described almost entirely as a liability because the costs will be known .,VERB,VBN,4,train,1,True,4,"['Indeed', 'it', 'will', 'be', 'described', 'almost', 'entirely', 'as', 'a', 'liability', 'because', 'the', 'costs', 'will', 'be', 'known', '.']",described,describe,17,16
alp-fragment01 43,1,"Furthermore , it highlights the suitability of referring to this type of project for testing out the appropriateness of applying the notion of punishment to probation practice .",VERB,VBG,14,train,1,True,14,"['Furthermore', ',', 'it', 'highlights', 'the', 'suitability', 'of', 'referring', 'to', 'this', 'type', 'of', 'project', 'for', 'testing', 'out', 'the', 'appropriateness', 'of', 'applying', 'the', 'notion', 'of', 'punishment', 'to', 'probation', 'practice', '.']",testing,test,28,8
kbd-fragment21 8092,0,You used to go in to play snooker did n't you ?,VERB,VB,6,test,0,True,6,"['You', 'used', 'to', 'go', 'in', 'to', 'play', 'snooker', 'did', ""n't"", 'you', '?']",play,play,12,16
a1n-fragment09 224,1,"The All Blacks would treat such an outmoded approach with the scorn it deserves , although on the other hand they might have been impressed with Bridgend 's contrasting mobility and aggression .",VERB,VBZ,13,train,1,True,13,"['The', 'All', 'Blacks', 'would', 'treat', 'such', 'an', 'outmoded', 'approach', 'with', 'the', 'scorn', 'it', 'deserves', ',', 'although', 'on', 'the', 'other', 'hand', 'they', 'might', 'have', 'been', 'impressed', 'with', 'Bridgend', ""'s"", 'contrasting', 'mobility', 'and', 'aggression', '.']",deserves,deserve,33,9
ab9-fragment03 916,1,"She let go of the cabinet , coughing in the dust of ages that appeared to be lurking behind it , and smiled back at him as the February sun shone through the small window behind her , throwing into sharp relief the patches on the wall where her predecessor had hung posters , and the ingrained dirt on the flaking paintwork round the mean , narrow , metal window .",VERB,VB,1,train,1,True,1,"['She', 'let', 'go', 'of', 'the', 'cabinet', ',', 'coughing', 'in', 'the', 'dust', 'of', 'ages', 'that', 'appeared', 'to', 'be', 'lurking', 'behind', 'it', ',', 'and', 'smiled', 'back', 'at', 'him', 'as', 'the', 'February', 'sun', 'shone', 'through', 'the', 'small', 'window', 'behind', 'her', ',', 'throwing', 'into', 'sharp', 'relief', 'the', 'patches', 'on', 'the', 'wall', 'where', 'her', 'predecessor', 'had', 'hung', 'posters', ',', 'and', 'the', 'ingrained', 'dirt', 'on', 'the', 'flaking', 'paintwork', 'round', 'the', 'mean', ',', 'narrow', ',', 'metal', 'window', '.']",let,let,71,16
kcu-fragment02 1977,0,I 'm waiting for you .,VERB,VBG,2,train,0,True,2,"['I', ""'m"", 'waiting', 'for', 'you', '.']",waiting,wait,6,14
c8t-fragment01 44,0,To each side of the hearth was a high-backed wicker armchair in an intricate closely woven design fitted with patchwork cushions .,VERB,VBN,15,train,0,True,15,"['To', 'each', 'side', 'of', 'the', 'hearth', 'was', 'a', 'high-backed', 'wicker', 'armchair', 'in', 'an', 'intricate', 'closely', 'woven', 'design', 'fitted', 'with', 'patchwork', 'cushions', '.']",woven,weave,22,6
ccw-fragment04 2030,1,"For once we were carrying neither wine nor spirits on Wavebreaker , for Jackson Chatterton 's drug clinic had utterly forbidden us to offer the twins any alcohol , saying that any mood-altering drug could hamper the success of a detoxification programme .",VERB,VB,35,test,1,True,35,"['For', 'once', 'we', 'were', 'carrying', 'neither', 'wine', 'nor', 'spirits', 'on', 'Wavebreaker', ',', 'for', 'Jackson', 'Chatterton', ""'s"", 'drug', 'clinic', 'had', 'utterly', 'forbidden', 'us', 'to', 'offer', 'the', 'twins', 'any', 'alcohol', ',', 'saying', 'that', 'any', 'mood-altering', 'drug', 'could', 'hamper', 'the', 'success', 'of', 'a', 'detoxification', 'programme', '.']",hamper,hamper,43,4
c8t-fragment01 5,1,"And here , barring the road , was the familiar old farm gate still in place .",VERB,VBG,3,train,1,True,3,"['And', 'here', ',', 'barring', 'the', 'road', ',', 'was', 'the', 'familiar', 'old', 'farm', 'gate', 'still', 'in', 'place', '.']",barring,bar,17,2
amm-fragment02 1701,0,"This specimen is preserved as a carbonaceous compression on a very fine-grained and well-bedded sandstone , a preservation common in Carboniferous rocks .",VERB,VBN,3,train,0,True,3,"['This', 'specimen', 'is', 'preserved', 'as', 'a', 'carbonaceous', 'compression', 'on', 'a', 'very', 'fine-grained', 'and', 'well-bedded', 'sandstone', ',', 'a', 'preservation', 'common', 'in', 'Carboniferous', 'rocks', '.']",preserved,preserve,23,14
ccw-fragment03 1583,0,"The fighting chair on her aft deck had thick white leather straps giving it the appearance of a padded electric chair , while the dazzle paint gave the boat an oddly military look that was completed by the number 666 that was painted on her bows in silver-edged black numerals like those warships use to display their commissioning numbers .",VERB,VBG,1,train,0,True,1,"['The', 'fighting', 'chair', 'on', 'her', 'aft', 'deck', 'had', 'thick', 'white', 'leather', 'straps', 'giving', 'it', 'the', 'appearance', 'of', 'a', 'padded', 'electric', 'chair', ',', 'while', 'the', 'dazzle', 'paint', 'gave', 'the', 'boat', 'an', 'oddly', 'military', 'look', 'that', 'was', 'completed', 'by', 'the', 'number', '666', 'that', 'was', 'painted', 'on', 'her', 'bows', 'in', 'silver-edged', 'black', 'numerals', 'like', 'those', 'warships', 'use', 'to', 'display', 'their', 'commissioning', 'numbers', '.']",fighting,fight,60,16
a7w-fragment01 56,1,He is even re-opening the already opened Eastern Harbour tunnel and subway crossing .,VERB,VBN,6,test,1,True,6,"['He', 'is', 'even', 're-opening', 'the', 'already', 'opened', 'Eastern', 'Harbour', 'tunnel', 'and', 'subway', 'crossing', '.']",opened,open,14,16
a38-fragment01 33,1,"Prestige comes in the shape of a Mercedes with the 240D or ‘ Stuttgart Taxi ’ , commanding £7,000 but returning unfailing reliability .",VERB,VBG,20,train,1,True,20,"['Prestige', 'comes', 'in', 'the', 'shape', 'of', 'a', 'Mercedes', 'with', 'the', '240D', 'or', '‘', 'Stuttgart', 'Taxi', '’', ',', 'commanding', '£7,000', 'but', 'returning', 'unfailing', 'reliability', '.']",returning,return,24,13
clp-fragment01 751,1,There is a necessary compromise which can only be arrived at in the context of a particular system .,VERB,VBD,9,train,1,True,9,"['There', 'is', 'a', 'necessary', 'compromise', 'which', 'can', 'only', 'be', 'arrived', 'at', 'in', 'the', 'context', 'of', 'a', 'particular', 'system', '.']",arrived,arrive,19,13
kbw-fragment42 15050,0,"I stay in the car cos er I do n't want to walk , too cold",VERB,VB,1,train,0,True,1,"['I', 'stay', 'in', 'the', 'car', 'cos', 'er', 'I', 'do', ""n't"", 'want', 'to', 'walk', ',', 'too', 'cold']",stay,stay,16,16
c8t-fragment01 48,1,"Was it the faint smell of herbs and newly baked dough , the soft ticking of the wall-mounted clock which seemed both to mark the passing seconds and yet to hold time in thrall , the rhythmic moaning of the sea through the half-open door , the sense of well-fed ease conveyed by the two cushioned armchairs , the open hearth ?",VERB,VBG,37,train,1,True,37,"['Was', 'it', 'the', 'faint', 'smell', 'of', 'herbs', 'and', 'newly', 'baked', 'dough', ',', 'the', 'soft', 'ticking', 'of', 'the', 'wall-mounted', 'clock', 'which', 'seemed', 'both', 'to', 'mark', 'the', 'passing', 'seconds', 'and', 'yet', 'to', 'hold', 'time', 'in', 'thrall', ',', 'the', 'rhythmic', 'moaning', 'of', 'the', 'sea', 'through', 'the', 'half-open', 'door', ',', 'the', 'sense', 'of', 'well-fed', 'ease', 'conveyed', 'by', 'the', 'two', 'cushioned', 'armchairs', ',', 'the', 'open', 'hearth', '?']",moaning,moan,62,5
b1g-fragment02 1013,0,"Various aspects of the CORINE project have been described in papers by Rhind et al. ( 1986 ) , Wiggins et al. ( 1987 ) , Briggs and Martin ( 1988 ) , Briggs and Mounsey ( 1989 ) and CEC ( 1990c ) .",VERB,VBN,8,train,0,True,8,"['Various', 'aspects', 'of', 'the', 'CORINE', 'project', 'have', 'been', 'described', 'in', 'papers', 'by', 'Rhind', 'et', 'al.', '(', '1986', ')', ',', 'Wiggins', 'et', 'al.', '(', '1987', ')', ',', 'Briggs', 'and', 'Martin', '(', '1988', ')', ',', 'Briggs', 'and', 'Mounsey', '(', '1989', ')', 'and', 'CEC', '(', '1990c', ')', '.']",described,describe,45,16
a1p-fragment03 84,1,The conference opened with Labour buoyed by a series of weekend opinion polls giving leads of from 5 to 12 points .,VERB,VBG,13,train,1,True,13,"['The', 'conference', 'opened', 'with', 'Labour', 'buoyed', 'by', 'a', 'series', 'of', 'weekend', 'opinion', 'polls', 'giving', 'leads', 'of', 'from', '5', 'to', '12', 'points', '.']",giving,give,22,16
a5e-fragment06 152,0,"Misunderstood by Decca Records , he maintains , ‘ I wan na play ma music ma way . ’",VERB,VB,12,test,0,True,12,"['Misunderstood', 'by', 'Decca', 'Records', ',', 'he', 'maintains', ',', '‘', 'I', 'wan', 'na', 'play', 'ma', 'music', 'ma', 'way', '.', '’']",play,play,19,16
a3k-fragment11 158,0,"Peter Crowther , managing director of a Leeds business centre , recently bought two semi-detached stone cottages in Bramhope , on the outskirts of Leeds , at an auction in the village pub .",VERB,VBG,3,train,0,True,3,"['Peter', 'Crowther', ',', 'managing', 'director', 'of', 'a', 'Leeds', 'business', 'centre', ',', 'recently', 'bought', 'two', 'semi-detached', 'stone', 'cottages', 'in', 'Bramhope', ',', 'on', 'the', 'outskirts', 'of', 'Leeds', ',', 'at', 'an', 'auction', 'in', 'the', 'village', 'pub', '.']",managing,manage,34,16
